	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
111	hsa-mir-19a	142.282905211841	1.59712535562542	0.15843406185929	10.0806943714154	6.7249183336029e-24	2.19088981800487e-22	Up
114	hsa-mir-200a	6865.36584836962	1.36050979180956	0.183223834139867	7.42539745550242	1.12441753100323e-13	1.24262552785229e-12	Up
115	hsa-mir-200b	6249.38893767178	1.21964722825223	0.177994415787851	6.85216568651181	7.2740235066767e-12	5.91529081392011e-11	Up
116	hsa-mir-200c	31390.6307476376	1.04351813678799	0.174486844996761	5.98049747995251	2.2245716812701e-09	1.3134114994896e-08	Up
119	hsa-mir-203b	362.517911148575	1.11502242415089	0.262531302896424	4.2471979982928	2.16460651973801e-05	7.58492203257791e-05	Up
122	hsa-mir-20a	1530.73229426631	1.25036523154784	0.166639481716443	7.50341526911065	6.21761795693469e-14	7.14611557183694e-13	Up
124	hsa-mir-21	912357.797322693	1.87228083928399	0.101248426454201	18.4919499971775	2.39726752250344e-76	2.06644460439797e-73	Up
125	hsa-mir-210	1716.60216029267	1.36871458052664	0.262223379567199	5.21965121029907	1.79260405795768e-07	7.76494823095236e-07	Up
126	hsa-mir-2115	1.09530808182472	1.71915781982502	0.386315462080391	4.45013981725452	8.58144028247985e-06	3.16119723226394e-05	Up
131	hsa-mir-217	173.548536228526	1.16358909187563	0.210962806716359	5.51561249106856	3.47567339949979e-08	1.72185659216599e-07	Up
137	hsa-mir-222	357.926437178861	1.01584960988973	0.140815301919015	7.21405696714663	5.43090181674964e-13	5.44353182097464e-12	Up
138	hsa-mir-223	1533.65294368475	1.05975670421237	0.192700076691693	5.49951366084771	3.8084020274947e-08	1.87591002725739e-07	Up
154	hsa-mir-301b	6.57402188100339	1.93762410887574	0.275610153581326	7.03030742408404	2.06078972571821e-12	1.93087037344467e-11	Up
162	hsa-mir-3117	2.3649298297509	1.07506118917099	0.278955330606185	3.85388293829992	0.000116259197473389	0.000364419738989315	Up
163	hsa-mir-3127	17.7789397040244	1.28165093817094	0.17278913627226	7.41742777249301	1.19416771736573e-13	1.30300325616362e-12	Up
165	hsa-mir-3131	7.62157185700873	1.52730691617474	0.416203014965498	3.66962002017538	0.000242911270597082	0.000724531194652888	Up
166	hsa-mir-3150b	7.25352442553945	1.34609637846122	0.359508943384604	3.74426395568457	0.000180923374798827	0.000549140665762638	Up
168	hsa-mir-3161	0.771555039313153	1.67394613295303	0.711721057526594	2.35196937796165	0.0186743122142693	0.0366680116826882	Up
170	hsa-mir-3174	0.843797689375637	1.34400303994425	0.352838185474035	3.80912014423438	0.0001394621832711	0.000430883161217521	Up
171	hsa-mir-3176	1.17391891457518	1.82153406911404	0.38212858553157	4.76680923145321	1.87166372834446e-06	7.40079877905011e-06	Up
172	hsa-mir-3187	1.24952177714819	1.59869151772294	0.399610336163152	4.00062604254117	6.3175126480825e-05	0.000208647352591843	Up
173	hsa-mir-3189	1.40879103714472	2.06218257370447	0.397953484177407	5.18196888756262	2.19555844558618e-07	9.46285690047646e-07	Up
174	hsa-mir-3194	1.77544503658618	1.07490392152034	0.32725131254553	3.28464357609196	0.0010211145684491	0.00267538224317058	Up
176	hsa-mir-3200	11.9696753376244	1.18012257882228	0.259336727427273	4.55054164726138	5.35079944688053e-06	2.01414372192621e-05	Up
177	hsa-mir-320b-1	10.3408439742097	1.10905999798249	0.179626200376276	6.17426631337333	6.64714168447947e-10	4.21311480295684e-09	Up
184	hsa-mir-335	362.73146900261	1.61478186144758	0.171428565820521	9.41956116659221	4.52977205560668e-21	1.08462875331471e-19	Up
193	hsa-mir-3619	0.877996813528848	1.20480207684145	0.383127302431903	3.14465210177913	0.00166284445501065	0.00419114596555315	Up
197	hsa-mir-3651	5.24297006586437	1.59554944842143	0.283157959732022	5.63483876607757	1.75222195519356e-08	9.04440314596913e-08	Up
198	hsa-mir-3652	3.56299748728578	1.17884147778018	0.30216834892919	3.90127384935484	9.56878289951557e-05	0.000306627912988194	Up
200	hsa-mir-3654	0.718644070119678	1.39751703434369	0.515304591828309	2.71202131031916	0.00668742933879099	0.0147431306650584	Up
203	hsa-mir-3662	2.61761139479722	2.86098297717835	0.395353528399491	7.23651813292386	4.60350141872248e-13	4.6684920269868e-12	Up
205	hsa-mir-3677	25.588381415952	1.11694742452086	0.19109461137854	5.84499697015684	5.06577486616365e-09	2.89185293684309e-08	Up
208	hsa-mir-3682	2.95292987770005	1.35171344124258	0.243010637886917	5.56236324877096	2.66145574550258e-08	1.34951461919013e-07	Up
209	hsa-mir-3684	0.954195901368088	1.1937828465436	0.328744866297195	3.63133532696565	0.000281958544431416	0.000835217406528799	Up
210	hsa-mir-3690-1	2.18326060035134	1.77910887596574	0.339825843706856	5.2353548410534	1.64668197592147e-07	7.20527849362592e-07	Up
211	hsa-mir-3691	1.28126074894665	1.16229817057982	0.338613919865851	3.43251739633235	0.00059800551609636	0.00163644684087321	Up
212	hsa-mir-371a	1.31359983894554	2.60460497015848	1.16273317037715	2.24007109843923	0.025086307490982	0.0479476653153581	Up
213	hsa-mir-372	10.422577242944	4.06073667134644	0.724343915646998	5.60608929491636	2.06949222908398e-08	1.05556349199432e-07	Up
214	hsa-mir-373	3.27833600818931	3.79273368319776	1.14440244814047	3.31416075643716	0.000919186441687936	0.00247599742127146	Up
232	hsa-mir-3934	14.1092941543153	1.05976533834115	0.171461800421449	6.18076641990387	6.3791142521871e-10	4.10357946670543e-09	Up
233	hsa-mir-3942	1.41005177420651	1.07736275384395	0.312104855854217	3.45192563856546	0.00055660110033432	0.00153778893746213	Up
234	hsa-mir-3944	1.75806491309065	1.77638827653698	0.357940586723839	4.96280204711045	6.94833899864844e-07	2.83861052930567e-06	Up
242	hsa-mir-4326	31.5486994021823	1.31096268136676	0.236092309526303	5.55275470004544	2.81202553195489e-08	1.41357671079616e-07	Up
244	hsa-mir-4449	2.60217854201636	1.78456221964285	0.413847178419089	4.31212851676299	1.61690399722681e-05	5.78328317680293e-05	Up
245	hsa-mir-4461	2.17471631579106	1.36562266677115	0.320365696725352	4.26269941111046	2.01972123506867e-05	7.10612124338448e-05	Up
256	hsa-mir-4525	0.730202593904324	1.58363680510759	0.419998890839258	3.7705737792381	0.000162872640698885	0.000496099704178228	Up
261	hsa-mir-4640	0.86388842565993	1.04093284655922	0.354931932778156	2.93276752647059	0.00335955343870205	0.00782926784159563	Up
262	hsa-mir-4645	1.0226634515021	1.09527697700991	0.330981841557779	3.30917542743417	0.000935711879381936	0.00249270106251471	Up
263	hsa-mir-4652	4.1472843065225	4.21404090129445	0.592947998941194	7.10693165137467	1.18651154867087e-12	1.16224199426624e-11	Up
264	hsa-mir-4658	0.667799503484289	1.64791561666331	0.454406587313944	3.62652228790158	0.00028726403496547	0.000845124908328448	Up
265	hsa-mir-4660	1.97619661979347	1.04541334116951	0.293792279127107	3.55834177901327	0.000373203493636647	0.00107592445322672	Up
266	hsa-mir-4661	17.3360620806086	2.05203261200279	0.261138092421565	7.858036309349	3.90202207471256e-15	4.94638680647387e-14	Up
267	hsa-mir-4664	2.63798879008493	2.70151713669826	0.363746377973892	7.42692518822046	1.11151183343753e-13	1.24262552785229e-12	Up
270	hsa-mir-4677	23.8206935411145	1.08316810955159	0.127663647342963	8.48454616561047	2.16562279074041e-17	3.33351222431828e-16	Up
271	hsa-mir-4684	0.752889508788201	1.17904072866791	0.477958555355155	2.46682628746294	0.0136316470578948	0.0278447387770269	Up
272	hsa-mir-4687	0.542998295000151	1.26955083141893	0.40895045029903	3.10441235726874	0.00190657404174163	0.00472260581603816	Up
