	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
195	hsa-mir-3622a	0.471400135334932	-1.77885546965768	0.306111105275435	-5.81114320585361	6.20476565071862e-09	3.4285307634099e-08	Down
196	hsa-mir-363	30.9528098617968	-1.07996247290769	0.217733312906131	-4.96002407024082	7.04844453975392e-07	2.86592414776787e-06	Down
201	hsa-mir-365a	119.108801468873	-1.49467479327429	0.115916822583911	-12.8943733959953	4.84182569785822e-38	4.17365375155379e-36	Down
202	hsa-mir-365b	118.896270111381	-1.49343982849746	0.115746565389203	-12.9026707917915	4.34763467638337e-38	4.16406787893607e-36	Down
206	hsa-mir-3678	1.0746823926641	-1.03599227624446	0.217951507631567	-4.75331548518461	2.00107726974092e-06	7.87638633112635e-06	Down
218	hsa-mir-378a	3583.40155344693	-1.14368363277962	0.142272783622386	-8.03866771746823	9.08204894919064e-16	1.22323846784411e-14	Down
219	hsa-mir-378c	45.5124021227091	-1.10008759013203	0.141651768392264	-7.76614088632946	8.09135488673111e-15	9.96392558908889e-14	Down
221	hsa-mir-378d-2	2.22222675653451	-1.28149753070683	0.206971551950714	-6.19166024812913	5.95337692093529e-10	3.88773553473198e-09	Down
222	hsa-mir-378i	0.597247085393254	-2.48385643053291	0.509387957080925	-4.87615852712103	1.0817168827376e-06	4.33693001358052e-06	Down
226	hsa-mir-383	4.34970235779642	-2.57220760360276	0.367100786017768	-7.00681584342417	2.43802820626969e-12	2.25976377828438e-11	Down
250	hsa-mir-4501	0.443923286551369	-1.53482753890454	0.614119808206487	-2.49923145027181	0.0124462992901869	0.0257283213144871	Down
254	hsa-mir-451a	1746.53359746107	-1.38364518708665	0.220803718875472	-6.26640345612565	3.69482281427891e-10	2.48823223899096e-09	Down
257	hsa-mir-4536-1	0.38373348770496	-1.36337143918942	0.29975975431809	-4.54821375968529	5.41031669440817e-06	2.02769260459993e-05	Down
258	hsa-mir-4536-2	0.330916815991535	-1.22028796951177	0.345166490336332	-3.53536048161199	0.000407219221287771	0.00116618926495036	Down
273	hsa-mir-4705	0.259737271047638	-1.8922917124863	0.624508989394369	-3.03004719647252	0.0024451552569115	0.00590398832341097	Down
281	hsa-mir-4732	0.935276566627861	-1.3698901464052	0.323049785140757	-4.24049236190738	2.23030024728284e-05	7.77454261964914e-05	Down
288	hsa-mir-4770	0.515016044152382	-1.97412966792798	0.355556622031578	-5.55222303735537	2.82059390089256e-08	1.41357671079616e-07	Down
291	hsa-mir-4786	3.15350212349818	-1.04715440951949	0.204742559760438	-5.11449310170163	3.14584585887887e-07	1.33796360163639e-06	Down
295	hsa-mir-486-1	223.210112731539	-1.61368276932244	0.204243988551677	-7.90076016809748	2.77207581176166e-15	3.62049901475538e-14	Down
296	hsa-mir-486-2	221.767869301237	-1.64163742856991	0.203337817543849	-8.07344865013071	6.83399248868548e-16	9.35063734166172e-15	Down
298	hsa-mir-490	90.9344156617664	-3.4378192435332	0.441681760477397	-7.78347568579104	7.05587183785151e-15	8.81472684670725e-14	Down
313	hsa-mir-504	2.45330906460063	-1.2579443969159	0.265160934212008	-4.74407891439284	2.09457189511676e-06	8.13297735851641e-06	Down
336	hsa-mir-548ba	1.22935114758725	-2.62902971275881	0.463907850579628	-5.66713779358115	1.45202570463475e-08	7.54003709274192e-08	Down
352	hsa-mir-551b	5.78143850887913	-2.01489821481599	0.249019287976082	-8.09133393317518	5.90148141020948e-16	8.33947045180421e-15	Down
360	hsa-mir-5680	0.51160412187714	-2.09773483178641	0.300215868695392	-6.98742155403795	2.79984026420552e-12	2.54048663973174e-11	Down
361	hsa-mir-5683	15.0618351735826	-2.96485647910324	0.323123195853096	-9.17562254011369	4.48972643146924e-20	9.21462900934876e-19	Down
376	hsa-mir-605	1.22338852806003	-1.53262198636021	0.233562754838133	-6.56192802410801	5.31164549900416e-11	3.91336617106119e-10	Down
385	hsa-mir-6507	0.781899634060907	-3.38687601237595	0.503131625365012	-6.73159038635036	1.67818530039283e-11	1.35195862517628e-10	Down
387	hsa-mir-6510	7.57983855778257	-4.54817196856148	0.550978342249223	-8.25472004942113	1.52258707007072e-16	2.26287940413959e-15	Down
388	hsa-mir-6511b-1	3.27855716499993	-1.02744121557353	0.156480368983135	-6.56594320584878	5.17045215666823e-11	3.84218082676553e-10	Down
400	hsa-mir-6720	5.69291058566401	-1.66573960630628	0.239409646604548	-6.95769627469402	3.45881887183799e-12	3.0423488444126e-11	Down
417	hsa-mir-7151	0.555318036040792	-1.23239607718654	0.502013565734826	-2.45490592546561	0.0140921461540292	0.0287173285692036	Down
433	hsa-mir-885	0.896198203706366	-2.4429655167406	0.334392330108699	-7.30568645502867	2.75854757864223e-13	2.89983903998732e-12	Down
448	hsa-mir-944	7.81830813172136	-3.08720163892719	0.39895515613031	-7.73821716924701	1.0082053199508e-14	1.22404645886984e-13	Down
