id	filename	md5	size	state
04e88817-0463-42e6-93ba-b14f2b6f5de9	04e88817-0463-42e6-93ba-b14f2b6f5de9/9b78b7de-4281-4fd1-bd9d-a726eee2cf9b.mirbase21.mirnas.quantification.txt	1b839eeadf813a427ae2c33f06b62722	50141	validated
058f9a28-0e38-4144-8cfb-643325f51a7e	058f9a28-0e38-4144-8cfb-643325f51a7e/9b940448-7177-4da4-8dad-cebc93ba5b30.mirbase21.mirnas.quantification.txt	e039c691b2e8520b6e9f8a7cfb4fd537	50297	validated
05a9d2d2-e288-4dc8-97c6-c5e6b08dc6dc	05a9d2d2-e288-4dc8-97c6-c5e6b08dc6dc/c65a4303-17b1-49fb-82f2-7161baf895b9.mirbase21.mirnas.quantification.txt	a33ed2e1fe35a59223ee8baa40779839	50150	validated
06e049fc-de26-496d-b5bb-bc1cb2430b53	06e049fc-de26-496d-b5bb-bc1cb2430b53/e4c972a2-6a5c-4ece-bb25-7e1f00781fcb.mirbase21.mirnas.quantification.txt	eb5b6fe4a10d2a92e27887f68824d246	50138	validated
06f28cba-a764-4dcf-9dc5-cddbb4d1a29a	06f28cba-a764-4dcf-9dc5-cddbb4d1a29a/a4c5975d-af1e-4ea1-8312-cfcf97a1bf95.mirbase21.mirnas.quantification.txt	6ea7c3e147bdbe299fd2053b681717aa	50171	validated
07c2f6a8-012f-4568-86a9-4f48d456c5e3	07c2f6a8-012f-4568-86a9-4f48d456c5e3/004a6a33-1b18-457c-9417-d317dd88b1d4.mirbase21.mirnas.quantification.txt	415deb5159aeab9a9a114b1da78f318b	50093	validated
07ff463f-8e3a-46d1-8f1b-1ef361c16a43	07ff463f-8e3a-46d1-8f1b-1ef361c16a43/eb4555ef-9934-41d3-9898-703e2a17f6c0.mirbase21.mirnas.quantification.txt	17ef3895d8487b03533e171c13080612	50164	validated
08620f52-d143-44aa-b8bd-09c2ad97be8c	08620f52-d143-44aa-b8bd-09c2ad97be8c/5d1acfc6-aa4c-4c92-bd29-7120c753e8e0.mirbase21.mirnas.quantification.txt	e5cbb1b03a8fc950e9a687534ea95d1c	50178	validated
088234bc-c36a-4518-84de-d907928d98ef	088234bc-c36a-4518-84de-d907928d98ef/51ca1864-04eb-4f1c-82e3-17eb7e75c818.mirbase21.mirnas.quantification.txt	a5d975c15121a347c08d86703221914b	50297	validated
091abb73-2ffb-4446-9bd9-aa642407dfdf	091abb73-2ffb-4446-9bd9-aa642407dfdf/2ef0b232-190b-452b-b3f3-9c551d20fc67.mirbase21.mirnas.quantification.txt	e808d2ff79c4bd42e6a038fcac8511ed	50221	validated
093896b8-f18e-4588-866b-87e178df09ff	093896b8-f18e-4588-866b-87e178df09ff/9e5fc713-22a2-4ea6-aceb-ae3d770d1f0b.mirbase21.mirnas.quantification.txt	772ef67842416cb9f83518b117bf870e	50364	validated
09a87148-771e-442b-877c-b00d9289703c	09a87148-771e-442b-877c-b00d9289703c/b3cabb94-83c4-44fa-89f3-6c42261bc2df.mirbase21.mirnas.quantification.txt	6650d0ff1da8f6019e9a85d4840fc1c1	50483	validated
09e15acb-99cc-432c-8dc7-f9842237c661	09e15acb-99cc-432c-8dc7-f9842237c661/f96f1096-1796-403d-921c-382e5fcf23e8.mirbase21.mirnas.quantification.txt	9412712d69dcf3709648b76c30fe9052	50276	validated
09e37a35-a6da-4114-8215-755042b785c6	09e37a35-a6da-4114-8215-755042b785c6/2dc9216c-7568-420c-901f-49bad87745f4.mirbase21.mirnas.quantification.txt	793fb75c12a96e5077920ad3df140ac9	50128	validated
0aac6403-3736-47d6-8475-b77cfef6e06d	0aac6403-3736-47d6-8475-b77cfef6e06d/9ebced52-df04-4696-9d12-461c209cd1b2.mirbase21.mirnas.quantification.txt	3c3acd5805689a97892a967371dcc0b5	50112	validated
0aecc687-5332-4528-98d6-839be0c87893	0aecc687-5332-4528-98d6-839be0c87893/9b7cc61b-1e00-4599-8624-e7f22b0887e1.mirbase21.mirnas.quantification.txt	0d6a96630ae5f93549b05e9652796cea	50314	validated
0afb7eb2-c654-43dd-a0de-c7884db21273	0afb7eb2-c654-43dd-a0de-c7884db21273/9bf2f929-6014-4a78-bc60-793df5ee48b1.mirbase21.mirnas.quantification.txt	2685a0de92231f4b5f9e10e218f6c70e	50092	validated
0b7647b1-e4b0-4c64-8b1a-86acb8614e97	0b7647b1-e4b0-4c64-8b1a-86acb8614e97/eb7bb941-5125-4316-81c4-e82150bff615.mirbase21.mirnas.quantification.txt	014e0811507b7e22352c82d16e269bab	50380	validated
0bd00e7d-a1fc-45bd-8c21-8a77a46cb895	0bd00e7d-a1fc-45bd-8c21-8a77a46cb895/2fb4357a-15f5-46eb-b432-f7c010feafe2.mirbase21.mirnas.quantification.txt	4cb65242af55f8c02e8d2ec181f2fb02	50187	validated
